name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_10,-1510.0,-1780.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_11,-1380.0,-1450.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_12,-1540.0,-960.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_13,-1120.0,-1280.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_14,-800.0,-1430.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_15,-230.0,-1730.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_16,-160.0,-1100.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_17,570.0,-1050.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_18,780.0,-1670.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_19,1980.0,-1780.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_20,2250.0,-1560.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_21,2150.0,-960.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_22,1670.0,-1370.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_23,940.0,-330.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_24,480.0,150.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_25,-130.0,900.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_26,-100.0,1490.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_27,380.0,1120.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_28,-840.0,1120.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_29,-1460.0,860.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_30,-1410.0,1620.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_31,-1520.0,1180.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_32,840.0,890.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_33,790.0,1540.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_34,1630.0,1150.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_35,2030.0,1640.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_36,2260.0,1190.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
BE_Stage_37,2200.0,840.0,2.0,0.0,100.0,100.0,200.0,100.0,250.0
