name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-6220.0,-3550.0,-20.0,0.0,1000.0,1000.0,1600.0,50.0,250.0
BE_Stage_01,-1220.0,-6500.0,-20.0,0.0,1000.0,1000.0,900.0,50.0,250.0
BE_Stage_02,-780.0,-670.0,-20.0,0.0,1000.0,1000.0,1100.0,50.0,250.0
BE_Stage_03,9010.0,-7330.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_10,-5480.0,-8270.0,-20.0,0.0,1000.0,1000.0,1600.0,50.0,250.0
BE_Stage_11,-5780.0,1240.0,-20.0,0.0,1000.0,1000.0,1600.0,50.0,250.0
BE_Stage_12,-1170.0,3240.0,-20.0,0.0,1000.0,1000.0,1600.0,50.0,250.0
BE_Stage_13,2830.0,3510.0,-20.0,0.0,1000.0,1000.0,1300.0,120.0,250.0
BE_Stage_14,10980.0,-6250.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_15,11390.0,-140.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_16,8920.0,-770.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_17,8190.0,3410.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_18,9380.0,-3990.0,-20.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_19,-370.0,-9050.0,-20.0,0.0,1000.0,1000.0,1200.0,50.0,250.0
