name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,3020.0,26330.0,-12797.0,0.0,600.0,600.0,1000.0,50.0,250.0
BE_Stage_01,5210.0,16640.0,-12813.0,0.0,600.0,600.0,1000.0,50.0,250.0
BE_Stage_02,3090.0,5000.0,-12812.0,0.0,500.0,500.0,700.0,50.0,250.0
BE_Stage_03,-5310.0,4650.0,-12832.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_05,-6870.0,-11720.0,-12820.0,0.0,500.0,500.0,1000.0,50.0,250.0
BE_Stage_06,-1650.0,-11760.0,-12813.0,0.0,500.0,500.0,700.0,100.0,250.0
BE_Stage_07,4470.0,-12300.0,-12807.0,0.0,500.0,500.0,600.0,50.0,250.0
BE_Stage_09,12210.0,-11770.0,-12812.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_11,18400.0,-12300.0,-12808.0,0.0,500.0,500.0,750.0,100.0,250.0
BE_Stage_12,30220.0,-15740.0,-12813.0,0.0,500.0,500.0,650.0,100.0,250.0
BE_Stage_13,34350.0,-12010.0,-12812.0,0.0,500.0,500.0,750.0,50.0,250.0
BE_Stage_14,13520.0,-9950.0,-12807.0,0.0,500.0,500.0,750.0,50.0,250.0
BE_Stage_15,16800.0,-7590.0,-12812.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_16,20000.0,-7570.0,-12813.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_17,21870.0,-3450.0,-12812.0,0.0,500.0,500.0,600.0,50.0,250.0
BE_Stage_18,21620.0,2810.0,-12812.0,0.0,500.0,500.0,600.0,50.0,250.0
BE_Stage_21,13340.0,-1350.0,-12812.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_22,9330.0,2740.0,-12812.0,0.0,500.0,500.0,650.0,50.0,250.0
BE_Stage_23,16910.0,7020.0,-11613.0,0.0,500.0,500.0,900.0,50.0,250.0
BE_Stage_24,17970.0,-290.0,-11192.0,0.0,500.0,500.0,600.0,50.0,250.0
