name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max,theta_min,theta_max
BE_Stage_00,-2180.0,2040.0,164.5,0.0,700.0,400.0,1500.0,50.0,250.0,170,190
BE_Stage_01a,-980.0,1990.0,164.5,0.0,300.0,400.0,1500.0,50.0,250.0,-10,10
BE_Stage_01b,-980.0,1990.0,164.5,0.0,300.0,400.0,1500.0,50.0,250.0,87,93
BE_Stage_01c,-980.0,1990.0,164.5,0.0,300.0,400.0,1500.0,50.0,250.0,170,190
BE_Stage_02,-980.0,-1260.0,164.5,0.0,400.0,700.0,1500.0,50.0,250.0,266,280
BE_Stage_03a,-200.0,2040.0,164.5,0.0,700.0,400.0,1500.0,50.0,250.0,-8,12
BE_Stage_03b,-200.0,2040.0,164.5,0.0,700.0,400.0,1500.0,50.0,250.0,180,195
BE_Stage_04a,1490.0,2040.0,164.5,0.0,600.0,400.0,1500.0,50.0,250.0,-12,-5
BE_Stage_04b,1490.0,2040.0,164.5,0.0,600.0,400.0,1500.0,50.0,250.0,75,100
BE_Stage_04c,1490.0,2040.0,164.5,0.0,600.0,400.0,1500.0,50.0,250.0,165,190
BE_Stage_05a,3150.0,2040.0,164.5,0.0,400.0,400.0,1500.0,50.0,250.0,-10,15
BE_Stage_05b,3150.0,2040.0,164.5,0.0,400.0,400.0,1500.0,50.0,250.0,80,120
BE_Stage_05c,3150.0,2040.0,164.5,0.0,400.0,400.0,1500.0,50.0,250.0,250,275
