name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_10,5020.0,640.0,27.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_11,4070.0,-950.0,-3.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_12,3860.0,-720.0,-3.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_13,3860.0,-120.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_14,4450.0,1940.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_15,5850.0,2850.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_16,5790.0,4170.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_17,3790.0,5700.0,55.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_18,2560.0,3110.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_19,1070.0,3360.0,19.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_20,-1130.0,2870.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_21,120.0,1590.0,65.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_22,390.0,1120.0,65.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_23,-1030.0,1120.0,80.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_24,-1930.0,870.0,80.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_25,50.0,-300.0,2.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_26,-2940.0,-1580.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_27,-2920.0,-4070.0,12.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_28,260.0,-3120.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_29,3730.0,-4780.0,5.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_30,4110.0,-2610.0,10.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_31,4780.0,-2850.0,16.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_32,4420.0,-1610.0,12.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_33,6430.0,-350.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_34,8190.0,-620.0,111.0,0.0,150.0,150.0,200.0,50.0,250.0
