name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,1230.0,810.0,0.0,0.0,1000.0,1000.0,650.0,100.0,250.0
BE_Stage_01,1520.0,2380.0,0.0,0.0,1000.0,1000.0,800.0,50.0,250.0
BE_Stage_02,3530.0,1140.0,0.0,0.0,1000.0,1000.0,800.0,130.0,250.0
BE_Stage_03,-4040.0,-1190.0,0.0,0.0,1000.0,1000.0,700.0,100.0,250.0
BE_Stage_04,-150.0,-6060.0,0.0,0.0,700.0,700.0,500.0,100.0,250.0
BE_Stage_05,-3500.0,1140.0,79.15,0.0,1000.0,1000.0,700.0,100.0,250.0
BE_Stage_15,5850.0,2850.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_16,5790.0,4170.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_17,3790.0,5700.0,55.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_23,-1030.0,1120.0,80.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_24,-1930.0,870.0,80.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_25,50.0,-300.0,2.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_26,-2940.0,-1580.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_27,-2920.0,-4070.0,12.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_28,260.0,-3120.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_30,4110.0,-2610.0,10.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_33,6430.0,-350.0,1.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_34,8190.0,-620.0,111.0,0.0,150.0,150.0,200.0,50.0,250.0
