name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-30310.0,3000.0,70.5,0.0,800.0,800.0,950.0,100.0,250.0
BE_Stage_01,-27610.0,10440.0,70.5,0.0,800.0,800.0,900.0,50.0,250.0
BE_Stage_02,-27180.0,41710.0,65.0,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_03,-26480.0,56520.0,63.0,0.0,1000.0,1000.0,1000.0,100.0,250.0
BE_Stage_04,-35770.0,-28560.0,58.5,0.0,700.0,700.0,1000.0,170.0,250.0
BE_Stage_05,-55280.0,-5630.0,58.5,0.0,1000.0,1000.0,2000.0,50.0,250.0
BE_Stage_06,-56610.0,14110.0,65.0,0.0,1000.0,1000.0,1100.0,50.0,250.0
BE_Stage_07,-35910.0,-39100.0,69.8,0.0,1000.0,1000.0,800.0,100.0,250.0
BE_Stage_08,25660.0,-22850.0,67.5,0.0,1000.0,1000.0,1300.0,50.0,250.0
BE_Stage_09,-20860.0,-5770.0,4790.0,0.0,1000.0,1000.0,800.0,140.0,250.0
BE_Stage_10,-12660.0,-32300.0,65.0,0.0,1000.0,1000.0,900.0,50.0,250.0
BE_Stage_11,-12160.0,-16150.0,64.0,0.0,1000.0,1000.0,950.0,50.0,250.0
BE_Stage_12,30.0,-22070.0,64.0,0.0,1000.0,1000.0,1100.0,50.0,250.0
BE_Stage_13,39410.0,-32400.0,65.0,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_14,38760.0,-58090.0,67.0,0.0,1000.0,1000.0,1200.0,50.0,250.0
BE_Stage_15,49780.0,-16100.0,64.0,0.0,1000.0,1000.0,950.0,50.0,250.0
BE_Stage_16,52460.0,16080.0,70.0,0.0,1000.0,1000.0,2000.0,50.0,250.0
BE_Stage_17,31800.0,34810.0,70.5,0.0,1000.0,1000.0,1100.0,50.0,250.0
BE_Stage_18,310.0,14890.0,69.0,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_19,12390.0,41030.0,71.0,0.0,1000.0,1000.0,1300.0,50.0,250.0
