shoe_id,offset
shoe_gso_000,0.00795
shoe_gso_001,0.00985
shoe_gso_002,0.0069
shoe_gso_003,0.00795
shoe_gso_004,0.01055
shoe_gso_005,0.00945
shoe_gso_006,0.0094
shoe_gso_007,0.01025
shoe_gso_008,0.0096
shoe_gso_009,0.00965
shoe_gso_010,0.00785
shoe_gso_011,0.00965
shoe_gso_012,0.00955
shoe_gso_013,0.0098
shoe_gso_014,0.00895
shoe_gso_015,0.00745
shoe_gso_016,0.0076
shoe_gso_017,0.00775
shoe_gso_018,0.0098
shoe_gso_019,0.0083
shoe_gso_020,0.0089
shoe_gso_021,0.00565
shoe_gso_022,0.0054
shoe_gso_023,0.00965
shoe_gso_024,0.0059
shoe_gso_025,0.00745
shoe_gso_026,0.0074
shoe_gso_027,0.0101
shoe_gso_028,0.01055
shoe_gso_029,0.00905
shoe_gso_030,0.00452
shoe_gso_031,0.01035
shoe_gso_032,0.00945
shoe_gso_033,0.01005
shoe_gso_034,0.0101
shoe_gso_035,0.0055
shoe_gso_036,0.0103
shoe_gso_037,0.01025
shoe_gso_038,0.0102
shoe_gso_039,0.0102
shoe_gso_040,0.01005
shoe_gso_041,0.01025
shoe_gso_042,0.00795
shoe_gso_043,0.00805
shoe_gso_044,0.0094
shoe_gso_045,0.01015
shoe_gso_046,0.0101
shoe_gso_047,0.0093
shoe_gso_048,0.00925
shoe_gso_049,0.00915
shoe_gso_050,0.00995
shoe_gso_051,0.00955
shoe_gso_052,0.00935
shoe_gso_053,0.00995
shoe_gso_054,0.00965
shoe_gso_055,0.0096
shoe_gso_056,0.00965
shoe_gso_057,0.0096
shoe_gso_058,0.0071
shoe_gso_059,0.0102
shoe_gso_060,0.0053
shoe_gso_061,0.0101
shoe_gso_062,0.0
shoe_gso_063,0.00985
shoe_gso_064,0.00515
shoe_gso_065,0.0103
shoe_gso_066,0.01035
shoe_gso_067,0.00975
shoe_gso_068,0.01045
shoe_gso_069,0.01055
shoe_gso_070,0.01055
shoe_gso_071,0.0104
shoe_gso_072,0.01055
shoe_gso_073,0.01015
shoe_gso_074,0.0103
shoe_gso_075,0.01055
shoe_gso_076,0.01035
shoe_gso_077,0.0105
shoe_gso_078,0.01055
shoe_gso_079,0.01015
shoe_gso_080,0.00995
shoe_gso_081,0.0099
shoe_gso_082,0.0099
shoe_gso_083,0.0103
shoe_gso_084,0.0103
shoe_gso_085,0.0104
shoe_gso_086,0.01025
shoe_gso_087,0.0104
shoe_gso_088,0.0099
shoe_gso_089,0.0099
shoe_gso_090,0.01015
shoe_gso_091,0.0103
shoe_gso_092,0.01035
shoe_gso_093,0.01035
shoe_gso_094,0.01035
shoe_gso_095,0.00975
shoe_gso_096,0.00565
shoe_gso_097,0.0056
shoe_gso_098,0.00935
shoe_gso_099,0.0101
shoe_gso_100,0.0075
shoe_gso_101,0.00835
shoe_gso_102,0.0096
shoe_gso_103,0.0095
shoe_gso_104,0.0096
shoe_gso_105,0.0093
shoe_gso_106,0.0095
shoe_gso_107,0.0097
shoe_gso_108,0.00905
shoe_gso_109,0.00935
shoe_gso_110,0.00935
shoe_gso_111,0.0105
shoe_gso_112,0.01005
shoe_gso_113,0.01
shoe_gso_114,0.0101
shoe_gso_115,0.00955
shoe_gso_116,0.0102
shoe_gso_117,0.0097
shoe_gso_118,0.00985
shoe_gso_119,0.0103
shoe_gso_120,0.0094
shoe_gso_121,0.0091
shoe_gso_122,0.00905
shoe_gso_123,0.0092
shoe_gso_124,0.01035
shoe_gso_125,0.0102
shoe_gso_126,0.00975
shoe_gso_127,0.01025
shoe_gso_128,0.00975
shoe_gso_129,0.0078
shoe_gso_130,0.009
shoe_gso_131,0.00925
shoe_gso_132,0.0095
shoe_gso_133,0.00935
shoe_gso_134,0.0092
shoe_gso_135,0.00945
shoe_gso_136,0.01005
shoe_gso_137,0.0
shoe_gso_138,0.01
shoe_gso_139,0.01025
shoe_gso_140,0.0101
shoe_gso_141,0.01015
shoe_gso_142,0.0099
shoe_gso_143,0.00915
shoe_gso_144,0.0094
shoe_gso_145,0.00995
shoe_gso_146,0.00955
shoe_gso_147,0.0098
shoe_gso_148,0.0094
shoe_gso_149,0.0084
shoe_gso_150,0.00905
shoe_gso_151,0.00965
shoe_gso_152,0.00915
shoe_gso_153,0.00855
shoe_gso_154,0.0103
shoe_gso_155,0.01055
shoe_gso_156,0.01065
shoe_gso_157,0.0105
shoe_gso_158,0.00955
shoe_gso_159,0.00595
shoe_gso_160,0.0101
shoe_gso_161,0.01035
shoe_gso_162,0.01025
shoe_gso_163,0.0103
shoe_gso_164,0.0101
shoe_gso_165,0.01015
shoe_gso_166,0.01025
shoe_gso_167,0.0103
shoe_gso_168,0.0055
shoe_gso_169,0.0103
shoe_gso_170,0.0075
shoe_gso_171,0.00745
shoe_gso_172,0.0092
shoe_gso_173,0.0103
shoe_gso_174,0.0092
shoe_gso_175,0.00935
shoe_gso_176,0.00555
shoe_gso_177,0.00575
shoe_gso_178,0.00505
shoe_gso_179,0.0094
shoe_gso_180,0.01005
shoe_gso_181,0.01005
shoe_gso_182,0.0101
shoe_gso_183,0.0096
shoe_gso_184,0.01025
shoe_gso_185,0.00945
shoe_gso_186,0.00935
shoe_gso_187,0.00855
shoe_gso_188,0.0099
shoe_gso_189,0.01015
shoe_gso_190,0.00855
shoe_gso_191,0.01045
shoe_gso_192,0.01055
shoe_gso_193,0.00625
shoe_gso_194,0.00945
shoe_gso_195,0.0065
shoe_gso_196,0.00715
shoe_gso_197,0.00985
shoe_gso_198,0.0098
shoe_gso_199,0.01035
shoe_gso_200,0.01065
shoe_gso_201,0.0104
shoe_gso_202,0.0104
shoe_gso_203,0.01045
shoe_gso_204,0.0105
shoe_gso_205,0.0094
shoe_gso_206,0.00555
shoe_gso_207,0.0055
shoe_gso_208,0.00585
shoe_gso_209,0.0085
shoe_gso_210,0.01055
shoe_gso_211,0.0106
shoe_gso_212,0.01045
shoe_gso_213,0.0102
shoe_gso_214,0.01035
shoe_gso_215,0.0103
shoe_gso_216,0.0102
shoe_gso_217,0.0106
shoe_gso_218,0.01055
shoe_gso_219,0.01065
shoe_gso_220,0.01065
shoe_gso_221,0.0105
shoe_gso_222,0.0104
shoe_gso_223,0.0107
shoe_gso_224,0.01065
shoe_gso_225,0.0107
shoe_gso_226,0.0105
shoe_gso_227,0.0105
shoe_gso_228,0.0106
shoe_gso_229,0.01055
shoe_gso_230,0.0106
shoe_gso_231,0.0107
shoe_gso_232,0.0107
shoe_gso_233,0.0107
shoe_gso_234,0.01015
shoe_gso_235,0.01025
shoe_gso_236,0.01045
shoe_gso_237,0.01045
shoe_gso_238,0.01045
shoe_gso_239,0.01045
shoe_gso_240,0.0105
shoe_gso_241,0.0106
shoe_gso_242,0.0105
shoe_gso_243,0.01035
shoe_gso_244,0.01055
shoe_gso_245,0.0105
shoe_gso_246,0.0106
shoe_gso_247,0.01015
shoe_gso_248,0.01065
shoe_gso_249,0.00995
shoe_gso_250,0.01
shoe_gso_251,0.00995
shoe_gso_252,0.0099
shoe_gso_253,0.00995
shoe_gso_254,0.01005
